horizon_days,horizon_row_position,source_row_index,video_id,channel_id,partition,cv_validation_fold
14,0,2,kfnMpp_pcxY,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,1,5,o6vDY4kVm-o,UCh9qXeL8eP3Txra2908xksg,development,5
14,2,7,0I8JYUUcdek,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,3,11,V0Ac5WwBEFo,UC1YGPDtctHGJWW0NrlQVklw,development,3
14,4,12,-5P1-uFbSG4,UCbR7juPwtP-bV_w0840ciYQ,development,3
14,5,13,dApf7P2XKxM,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,6,37,RtyDY52ZoDA,UCQTcNhAZidy1i9wwmdgf2Lw,test_reserved,
14,7,40,ogyBkIjxbTM,UCQTcNhAZidy1i9wwmdgf2Lw,test_reserved,
14,8,42,RHJE7ia0nCE,UCOje-ElpruRxg2XWnWwue7w,development,2
14,9,43,4_dJVLAkLvc,UC_oQPOpRefuPENfsJ404nmA,development,2
14,10,44,YwZsiMluGUA,UCAgBGlUKoAQFXMUzshrWDgg,development,2
14,11,46,hzEE0K4gMXI,UCYf829WTg8Cpx_a-cPtgSQQ,development,1
14,12,49,QL5daarNVbM,UC9WC9lfrR4XNDTn1AiBDinQ,development,4
14,13,52,CxU8PB87Bbk,UCF0uUUUTf2kzN8lz20-iksg,test_reserved,
14,14,53,-eafojI-6FU,UCgdbMwr1jX4DVkoDXHScjhw,development,1
14,15,54,JrBxD42hIJ0,UCm3mXl7hQbHVMxhKaOeEhYA,test_reserved,
14,16,55,ZehWbSt1y_0,UCXm0FsS7PXy0w5HeOkYMi7Q,test_reserved,
14,17,56,eGiWyZdggII,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,18,62,rSlTCn2H8vA,UCh9qXeL8eP3Txra2908xksg,development,5
14,19,65,9VBsP_1UIYU,UC8U5Mgl9nbkm5vOJ0SMtQgA,development,4
14,20,73,GMVD_l7AJE4,UCkD2Gixzde52jx1XspNvrBw,development,4
14,21,84,sJtVLRMa-p0,UCBQ_5txpN9srcPmkpJytDvw,development,4
14,22,89,OWHcQ3yv2gY,UCbR7juPwtP-bV_w0840ciYQ,development,3
14,23,98,gz-QT0F5Hh8,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,24,99,mnQLpDx3mHI,UCbS_glb2N1NVTrDLVryRbng,test_reserved,
14,25,104,-mFaj9SFYy4,UCUzsesaP5G628WVuqEckF8w,development,4
14,26,110,QGlAOOzIUps,UCaIc6SgS90ud_RgMSC6hW_w,development,4
14,27,112,tAf33yzemL0,UCp3vt0JWTbhd15j9PSn3RnQ,development,2
14,28,114,xshemXvxB1U,UC2sO_F_Ky4LIAUtSJYXqBDA,development,5
14,29,115,VjccdywVSa4,UCbS_glb2N1NVTrDLVryRbng,test_reserved,
14,30,118,TMWwcMyhv-4,UCQxYcvX5hnGJvuTFzKng-Vg,development,3
14,31,120,RRj229U_v3I,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,32,126,HDN8eUayWPE,UCFNhBN3enTlGFtr-apfIaDw,development,3
14,33,127,0tAo3MQptS8,UCm8I2aLYgPm_gdzw4SSkiGg,development,3
14,34,134,ApUQOS7Z6gM,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,35,139,gTxYMam-DOc,UCGdrUc4D0yh_Xs_nwq2zZbw,development,4
14,36,141,CYPqfQu0VXU,UC1YGPDtctHGJWW0NrlQVklw,development,3
14,37,143,WbE0RZ9AjRI,UCAGQUfHzdsgxJ1pq2XDS2TQ,test_reserved,
14,38,147,XuDwSYeUOeI,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,39,155,37rKWbgiRJM,UChrXmunslU0Xg7MVsJs5Kkg,development,3
14,40,170,JWi-8jsMA4Y,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,41,174,B5y0erM9ffs,UCldiq7Z0JJVSkGXVgfV2qtg,development,2
14,42,176,Yw82dOmf5Cw,UCIKg0Ev6Vq2M7hU7bL_jHFQ,development,3
14,43,178,lVyyA___y3M,UCHrjPef58odmjGI-2rfIjZw,development,5
14,44,185,Sh_9nv_rvNY,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,45,187,GTtV5r7Vttg,UC_d3UQ1v8KP1JNFOBmV63xA,development,5
14,46,188,XYEnGFv5wtM,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,47,190,Qk85eomNvS4,UCW_dWq1AfuNLqbZuoc6_Clg,development,5
14,48,191,a33B4efSzCo,UCAKAcMWVANp_qXgWKlXMCFA,development,4
14,49,194,0OVd7urXxhE,UCFjPN4qKreAn3tB36QMYiRA,development,3
14,50,196,Ip3cKQeB8ps,UCN3Buj32nQOlbBjWmj1Eoqw,development,2
14,51,199,XIAf3a0_c1M,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,52,200,DYNzoc2eT5I,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,53,201,BzJMJzNFDxs,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,54,203,39oZSrrp2YA,UCPZ5BVdQNI36_gBwBLhPUiQ,test_reserved,
14,55,206,1PqhxXrKIZ0,UC87goh34oNbvOH468hyfQVg,test_reserved,
14,56,207,hWUKqVd5IEk,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,57,210,Sb2X_73yZAk,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,58,213,VJmvtIOG49g,UCWiGjTcC95PYGw4dyZGWNNw,development,5
14,59,217,EBlt7GMT6xM,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,60,219,gMktZtpo0KU,UCh9qXeL8eP3Txra2908xksg,development,5
14,61,222,whBL31ko-q8,UCbRbdFTihZZCq8r5-bQa0sA,development,2
14,62,229,i50KY27WBZA,UCNJq7z4rYDfvXvgWKt6KOvw,development,1
14,63,234,N-EtW7oHEK8,UCOtYyt7W5PmPnwQjWWF_Z-Q,development,5
14,64,239,-C72gb14swA,UCgnFSj7jQffD5V5m05j4dPw,development,4
14,65,241,TErrOZjsbmo,UCgnFSj7jQffD5V5m05j4dPw,development,4
14,66,242,W3pRoxsQ1oI,UC3W16VfuU392bL3zrOdVGfQ,development,5
14,67,243,jXiiZMGeXOc,UC324VVhYKykBv01GecF4aYg,development,5
14,68,244,6WgWBVAsVlA,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,69,255,amSVTmrDTG0,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,70,262,IWmeIhTBdY8,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,71,265,T7WRyiFdUVI,UCsbPUu0F_qqCmDFVjiRva1Q,development,5
14,72,268,OerNlmWzQq4,UCnRmorY-xMkotuJSykIMPsg,development,4
14,73,269,GH6c7ra0QzQ,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,74,273,EC35TZs4Bz4,UCCK3OZi788Ok44K97WAhLKQ,development,2
14,75,274,dNHtn-VlBLo,UCF11-Puqxb0jdeWNc7F_Fcw,development,4
14,76,275,Ynr4nLUUP30,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,77,276,lwKqltq4r7w,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,78,279,_AjhyK1nuyU,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,79,280,UfohCoiI3y8,UCckltLEhFLv8Xz_lQhYfwmg,development,1
14,80,283,tdlKYLEEI64,UCol1SzfebXhRo0ltxOJZ9cg,development,3
14,81,285,x5EFgHvmzF0,UCJ44oEtQ4TUPUbVS6hLI9Hw,development,2
14,82,293,7Ae-L35Kb34,UCAH7R88V7gz7RqJv78nNOzg,test_reserved,
14,83,300,U3xI-iy7IOw,UCCK3OZi788Ok44K97WAhLKQ,development,2
